Protein ID,Compartment
Q9CPR5,Mitochondrion
Q8BJZ4,Mitochondrion
Q9CZS1,Mitochondrion
P97742,Mitochondrion
Q8R2K3,Mitochondrion
Q9JJL8,Mitochondrion
P47791,Mitochondrion
Q9D0Q7,Mitochondrion
Q8VE22,Mitochondrion
Q8K4Z3,Mitochondrion
Q9EP89,Mitochondrion
Q8VDT9,Mitochondrion
Q8BU88,Mitochondrion
Q9CQX8,Mitochondrion
Q9WUR9,Mitochondrion
Q80X85,Mitochondrion
Q99KR7,Mitochondrion
Q9CPQ1,Mitochondrion
Q8JZN7,Mitochondrion
Q80Y81,Mitochondrion
Q9DC71,Mitochondrion
Q8K2Y7,Mitochondrion
Q9EQI8,Mitochondrion
Q9CQ06,Mitochondrion
Q9DCU6,Mitochondrion
P52196,Mitochondrion
Q9D338,Mitochondrion
Q9CQ69,Mitochondrion
Q8BYL4,Mitochondrion
Q9CY73,Mitochondrion
Q9QZD8,Mitochondrion
Q921H9,Mitochondrion
Q8BGV0,Mitochondrion
Q9JIK9,Mitochondrion
Q8BGA9,Mitochondrion
Q6P3A8,Mitochondrion
Q9CQF0,Mitochondrion
Q9CQH3,Mitochondrion
Q99M01,Mitochondrion
Q9D773,Mitochondrion
Q3TIU4,Mitochondrion
Q9CXU4,Mitochondrion
Q9D125,Mitochondrion
Q8VCF0,Mitochondrion
Q8K2M0,Mitochondrion
Q9CQR4,Mitochondrion
Q9CQE3,Mitochondrion
Q9D7N6,Mitochondrion
E9QJS0,Mitochondrion
E9QPQ8,Mitochondrion
P97930,Mitochondrion
G3X975,Mitochondrion
Q5RL20,Mitochondrion
Q9CYK1,Mitochondrion
Q14B21,Mitochondrion
Q9D1N9,Mitochondrion
Q9D1B9,Mitochondrion
Q9CQV5,Mitochondrion
Q8CCM6,Mitochondrion
Q8JZY4,Mitochondrion
Q9CQN7,Mitochondrion
Q924T2,Mitochondrion
P50171,Mitochondrion
Q99KB8,Mitochondrion
Q9D1I6,Mitochondrion
Q9CZ83,Mitochondrion
Q3TBW2,Mitochondrion
Q9CY16,Mitochondrion
P10605,Lysosome
P18242,Lysosome
E9PZ00,Lysosome
O35114,Lysosome
Q9WV54,Lysosome
Q9CQ22,Lysosome
P17439,Lysosome
Q3TXR9,Lysosome
Q9D1L9,Lysosome
Q3TCN2,Lysosome
Q8BFR4,Lysosome
P70699,Lysosome
Q544R6,Lysosome
Q545I6,Lysosome
Q9Z0J0,Lysosome
O09159,Lysosome
P11438,Lysosome
P24638,Lysosome
